agent_id,geometry
1,"LINESTRING (-111.959012 33.412374,-111.959012 33.412375,-111.959012 33.412375,-111.959012 33.412375,-111.959013 33.412375,-111.959013 33.412375,-111.959013 33.412375,-111.959013 33.412375,-111.959013 33.412375,-111.958445 33.412344,-111.957949 33.411751,-111.959351 33.411538,-111.960747 33.411605,-111.960781 33.414548,)"
2,"LINESTRING (-111.960806 33.418187,-111.960834 33.421077,-111.960832 33.421595,-111.960850 33.423601,-111.960847 33.425637,-111.960824 33.428635,-111.961077 33.432332,-111.960858 33.435872,-111.959617 33.436973,-111.954774 33.436053,-111.952746 33.435997,-111.950046 33.435872,-111.947207 33.435752,-111.943172 33.435497,-111.938547 33.435022,-111.936341 33.434764,-111.935521 33.434875,-111.934464 33.434939,-111.931556 33.435407,-111.928853 33.435835,-111.926773 33.435915,-111.925002 33.435917,-111.922826 33.435850,-111.919537 33.435782,-111.914930 33.435741,-111.910799 33.436233,-111.909859 33.436443,-111.909347 33.434232,-111.909285 33.432530,-111.909285 33.432527,-111.909285 33.432526,-111.909123 33.431907,-111.907304 33.432295,-111.906648 33.432473,-111.905702 33.432316,-111.906011 33.431740,-111.906964 33.431547,-111.907702 33.431289,-111.907922 33.431446,-111.907628 33.431824,-111.906923 33.431830,-111.906637 33.432270,-111.907453 33.432317,-111.908882 33.432204,-111.908900 33.432195,-111.909181 33.432182,-111.909474 33.435320,-111.909706 33.435820,-111.909732 33.436145,-111.912451 33.436460,-111.917158 33.436297,-111.922740 33.436338,-111.928911 33.436245,-111.934509 33.435403,-111.939919 33.435605,-111.946173 33.436290,-111.952220 33.436632,-111.957895 33.437575,-111.960405 33.438415,-111.960990 33.437464,-111.961038 33.436696,-111.961236 33.433087,-111.961035 33.429859,-111.961028 33.426487,-111.961063 33.423177,-111.961057 33.422621,-111.961009 33.420299,-111.960899 33.417318,-111.960906 33.415484,-111.960899 33.412986,-111.960844 33.410200,-111.960832 33.406973,-111.960788 33.403579,-111.960785 33.400646,-111.960792 33.400231,-111.959940 33.400137,-111.958416 33.400455,-111.958443 33.400695,-111.958721 33.401209,-111.959505 33.401200,-111.960031 33.401438,-111.959876 33.402131,-111.959870 33.402135,-111.959877 33.402142,-111.959876 33.402143,-111.959875 33.402143,-111.959876 33.402144,-111.959877 33.402144,-111.959877 33.402145,-111.959876 33.402146,-111.959875 33.402146,-111.959874 33.402148,-111.959874 33.402149,-111.959874 33.402149,-111.959874 33.402149,-111.960466 33.401749,-111.959932 33.401212,-111.959257 33.401132,-111.958570 33.401114,-111.958456 33.400616,-111.958767 33.400187,-111.960593 33.400216,-111.960698 33.402071,-111.960744 33.405701,-111.960756 33.409353,-111.960785 33.413015,-111.960824 33.416819,-111.960876 33.420627,-111.960916 33.421770,-111.960917 33.421772,)"
3,"LINESTRING (-111.960917 33.421768,-111.960918 33.421772,-111.961061 33.421946,-111.964543 33.422017,-111.968817 33.422024,-111.973199 33.422013,-111.977239 33.422034,-111.977791 33.424911,-111.978014 33.430031,-111.978577 33.435017,-111.979713 33.440434,-111.981111 33.445528,-111.982046 33.450731,-111.983253 33.455649,-111.985115 33.459309,-111.990951 33.459005,-111.996721 33.459442,-111.999251 33.459504,-112.002238 33.459175,-112.004565 33.459163,-112.005715 33.459217,-112.007307 33.459393,-112.008578 33.459668,-112.009887 33.460007,-112.010552 33.460248,-112.011421 33.460483,-112.012253 33.460740,-112.013130 33.461005,-112.013785 33.461207,-112.014377 33.461357,-112.015558 33.461558,-112.016737 33.461793,-112.017505 33.461923,-112.018709 33.462089,-112.019965 33.462188,-112.020815 33.462222,-112.021764 33.462234,-112.023048 33.462243,-112.024853 33.462235,-112.026226 33.462193,-112.027490 33.462191,-112.029896 33.462194,-112.032808 33.462419,-112.036526 33.463115,-112.037943 33.466898,-112.038423 33.471924,-112.038383 33.476803,-112.038759 33.481471,-112.041098 33.485770,-112.043545 33.490381,-112.043842 33.495506,-112.043625 33.501385,)"
