agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry
1,1519,1519,-858993460,-858993460,1519,1220,2753,1519;,"LINESTRING (-112.030117 33.4444844, -112.0300366 33.4444743)",
2,1518,1220,-858993460,-858993460,1518,1519,2175,1518;1519;1220;,"LINESTRING (-112.030027 33.444079,-112.030063 33.444111,-112.030106 33.444155,-112.030132 33.444209,-112.030148 33.444252,-112.030147 33.444316,-112.030136 33.444392,-112.030124 33.444450,-112.030117 33.444484,)"
3,743,759,-858993460,-858993460,743,1606,1418,743;1606;1445;1359;1435;342;621;319;1343;1344;1570;1571;1350;1774;1352;1599;1775;1356;759;,"LINESTRING (-112.029372 33.462451,-112.029527 33.462426,-112.029672 33.462393,-112.029817 33.462352,-112.029973 33.462283,-112.030088 33.462223,-112.030179 33.462160,-112.030179 33.462265,-112.030180 33.462776,-112.030174 33.463317,-112.030202 33.463414,-112.030254 33.463587,-112.030252 33.463996,-112.030450 33.463997,-112.033643 33.464015,-112.033653 33.464890,-112.034040 33.464892,-112.034153 33.464892,-112.034481 33.464890,-112.034602 33.464907,-112.034647 33.465004,-112.034647 33.465044,-112.035693 33.465032,-112.035730 33.465037,-112.035751 33.465065,-112.035757 33.465454,-112.035736 33.465492,-112.035708 33.465516,-112.034654 33.465523,-112.034655 33.465612,-112.034657 33.465777,-112.034807 33.465784,-112.035187 33.465788,-112.035334 33.465790,-112.035502 33.465792,-112.035733 33.465794,-112.035920 33.465856,-112.036155 33.465880,-112.036240 33.465885,-112.036682 33.465909,-112.036867 33.465910,-112.036916 33.465910,-112.037059 33.465909,-112.037309 33.465907,-112.037495 33.465949,-112.037566 33.465990,-112.037603 33.466035,-112.037632 33.466085,-112.037652 33.466150,-112.037656 33.466199,-112.037655 33.466282,)"
